Sample,Peak (cm⁻¹),Height (a.u.),Prominence,Top Assignment,Confidence,All Matches
GO,3592.7,0.4833,0.5142,O-H Alcohol str.,0.47,O-H Alcohol str. (47%)
GO,3482.8,0.3551,0.0,O-H Alcohol str.,0.97,O-H Alcohol str. (97%)
GO,3438.5,0.3111,0.0,O-H Alcohol str.,0.71,O-H Alcohol str. (71%)
GO,2759.6,0.0409,0.0447,O-H Carboxylic acid (broad),0.59,O-H Carboxylic acid (broad) (59%)
GO,1727.9,0.4131,0.0782,C=O Ester / Acid / Aldehyde,0.99,C=O Ester / Acid / Aldehyde (99%)
GO,1627.6,1.0,1.0449,C=C Alkene str.,0.7,C=C Alkene str. (70%)
GO,1384.6,0.3662,0.3479,C-H CH3 sym. bend,0.59,C-H CH3 sym. bend (59%)
GO,1083.8,0.3846,0.2149,C-O Alcohol / Ester C-O,0.83,C-O Alcohol / Ester C-O (83%)
PEI,3475.1,0.5494,0.5916,N-H Amine str.,0.41,N-H Amine str. (41%)
PEI,3403.7,0.4027,0.0,N-H Amine str.,0.9,N-H Amine str. (90%)
PEI,2954.4,0.2257,0.1339,C-H Alkane C-H str.,0.58,C-H Alkane C-H str. (58%)
PEI,1641.1,0.7729,0.1461,C=C Alkene str.,0.8,C=C Alkene str. (80%)
PEI,1479.1,0.8508,0.6057,C=C Aromatic C=C / CH bend,0.58,C=C Aromatic C=C / CH bend (58%)
PEI,1311.4,0.8772,0.8465,C-N C-N stretch (amine),0.32,C-N C-N stretch (amine) (32%)
PEI@GO,3588.9,0.3818,0.0,O-H Alcohol str.,0.5,O-H Alcohol str. (50%)
PEI@GO,3544.5,0.5045,0.0,O-H Alcohol str.,0.84,O-H Alcohol str. (84%)
PEI@GO,3500.2,0.5366,0.5772,O-H Alcohol str.,1.0,O-H Alcohol str. (100%)
PEI@GO,3469.3,0.5188,0.0016,O-H Alcohol str.,0.92,O-H Alcohol str. (92%) | N-H Amine str. (46%)
PEI@GO,3430.7,0.4519,0.0,N-H Amine str.,0.79,N-H Amine str. (79%) | O-H Alcohol str. (65%)
PEI@GO,3361.3,0.2383,0.0,N-H Amine str.,0.73,N-H Amine str. (73%) | O-H Phenol / H-bonded (53%)
PEI@GO,2948.6,0.1003,0.0802,C-H Alkane C-H str.,0.69,C-H Alkane C-H str. (69%) | O-H Carboxylic acid (broad) (43%)
PEI@GO,2842.6,0.1555,0.1662,O-H Carboxylic acid (broad),0.58,O-H Carboxylic acid (broad) (58%) | C-H Aldehyde C-H (Fermi) (49%)
PEI@GO,1639.2,1.0,1.0189,C=C Alkene str.,0.8,C=C Alkene str. (80%) | C=O Amide I (55%)
PEI@GO,1569.8,0.3866,0.0,N-H Amide II / N-H bend,0.33,N-H Amide II / N-H bend (33%)
PEI@GO,1465.6,0.2167,0.226,C=C Aromatic C=C / CH bend,0.67,C=C Aromatic C=C / CH bend (67%) | C-H CH2 scissoring (34%)
PEI@GO,1380.8,0.2023,0.164,C-H CH3 sym. bend,0.79,C-H CH3 sym. bend (79%) | C-N C-N stretch (amine) (61%)
PEI@GO,1112.7,0.4375,0.0,C-O Alcohol / Ester C-O,0.85,C-O Alcohol / Ester C-O (85%)
PEI@GO,1079.9,0.5688,0.3468,C-O Alcohol / Ester C-O,0.79,C-O Alcohol / Ester C-O (79%)
PEI@GO,1022.1,0.3396,0.0,C-O Primary alcohol C-O,0.61,C-O Primary alcohol C-O (61%)
Unknown (ATR),3639.0,0.084,0.0918,O-H Alcohol str.,0.18,O-H Alcohol str. (18%)
Unknown (ATR),3563.8,0.074,0.0765,O-H Alcohol str.,0.7,O-H Alcohol str. (70%)
Unknown (ATR),3401.8,0.0812,0.0901,N-H Amine str.,0.9,N-H Amine str. (90%) | O-H Alcohol str. (42%)
Unknown (ATR),3264.9,0.0627,0.0511,O-H Phenol / H-bonded,0.76,O-H Phenol / H-bonded (76%) | N-H H-bonded N-H (66%)
Unknown (ATR),3153.0,0.1043,0.1144,N-H H-bonded N-H,0.07,N-H H-bonded N-H (7%)
Unknown (ATR),3000.7,0.0379,0.0463,O-H Carboxylic acid (broad),0.32,O-H Carboxylic acid (broad) (32%) | =C-H Alkene / Aromatic C-H (23%)
Unknown (ATR),2929.3,1.0,1.0156,C-H Alkane C-H str.,0.96,C-H Alkane C-H str. (96%) | O-H Carboxylic acid (broad) (46%)
Unknown (ATR),2856.1,0.3237,0.1757,O-H Carboxylic acid (broad),0.57,O-H Carboxylic acid (broad) (57%) | C-H Alkane C-H str. (15%)
Unknown (ATR),2651.6,0.0392,0.0425,O-H Carboxylic acid (broad),0.43,O-H Carboxylic acid (broad) (43%)
Unknown (ATR),1679.7,0.0416,0.047,C=O Amide I,0.58,C=O Amide I (58%) | C=C Alkene str. (20%)
Unknown (ATR),1450.2,0.1416,0.1473,C-H CH2 scissoring,0.8,C-H CH2 scissoring (80%) | C=C Aromatic C=C / CH bend (29%)
Unknown (ATR),1089.6,0.0383,0.0424,C-O Alcohol / Ester C-O,0.87,C-O Alcohol / Ester C-O (87%)
